,JD,Body,RA,Dec,Az,Alt,Dist,Dist_Sun,Const
91,2270553.60679079,Sun,5.784575,23.471138888888888,54.562916666666666,-4.708138888888889,1.017,0.0,Gem
92,2270573.6091639185,Pluto,16.377625000000002,-9.460333333333333,257.5886944444444,0.5835277777777779,29.426,30.365,Oph
93,2270573.6091639185,Sun,7.165097222222222,22.530083333333334,55.13397222222222,-5.947361111111111,1.016,0.0,Gem
94,2270593.611537047,Pluto,16.347952777777778,-9.438888888888888,270.30202777777777,-16.287472222222224,29.603,30.371,Oph
95,2270593.611537047,Sun,8.505858333333334,19.015361111111112,57.93216666666667,-7.749833333333333,1.014,0.0,Cnc
96,2270613.613910176,Pluto,16.327861111111112,-9.363444444444445,284.1793611111111,-33.95425,29.865,30.378,Oph
97,2270613.613910176,Sun,9.783383333333333,13.411944444444444,62.95119444444445,-10.790611111111112,1.011,0.0,Leo
98,2270633.6162833045,Pluto,16.320494444444446,-9.237694444444445,302.6423611111111,-48.907,30.183,30.385,Oph
99,2270633.6162833045,Sun,11.007172222222222,6.3774444444444445,69.759,-13.600861111111112,1.006,0.0,Leo
100,2270653.618656433,Pluto,16.32736111111111,-9.071,332.05716666666666,-59.70075,30.521,30.392,Oph
101,2270653.618656433,Sun,12.209677777777777,-0.6320833333333333,77.57758333333332,-16.454083333333333,1.0,0.0,Vir
102,2270673.621029562,Pluto,16.348405555555555,-10.877555555555555,14.08525,-61.49961111111111,30.843,30.399,Oph
103,2270673.621029562,Sun,13.433702777777778,-8.939916666666665,85.39822222222223,-19.387916666666666,0.994,0.0,Vir
104,2270693.6234026905,Pluto,16.38202777777778,-10.674,48.822833333333335,-53.74238888888889,31.112,30.406,Oph
105,2270693.6234026905,Sun,14.721805555555555,-14.126138888888889,92.11330555555556,-22.34852777777778,0.989,0.0,Lib
106,2270713.625775819,Pluto,16.425386111111113,-10.478027777777777,70.12433333333333,-39.159499999999994,31.298,30.413,Oph
107,2270713.625775819,Sun,16.099494444444442,-19.08213888888889,96.67233333333334,-25.44786111111111,0.985,0.0,Oph
108,2270733.628148948,Pluto,16.474605555555552,-10.305972222222222,84.80375,-24.28852777777778,31.38,30.42,Oph
109,2270733.628148948,Sun,17.554686111111113,-22.63525,98.29816666666666,-27.151555555555557,0.983,0.0,Sgr
110,2270753.6305220765,Pluto,16.525169444444444,-10.171722222222222,97.10180555555554,-9.791333333333334,31.35,30.427,Oph
111,2270753.6305220765,Sun,19.03280833333333,-21.258444444444443,96.79852777777778,-28.229111111111113,0.983,0.0,Sgr
112,2270773.632895205,Pluto,16.57235,-10.084444444444443,109.30622222222222,5.113833333333333,31.209,30.434,Oph
113,2270773.632895205,Sun,20.464680555555553,-18.836583333333333,92.82663888888888,-27.451388888888886,0.985,0.0,Cap
114,2270793.635268334,Pluto,16.611658333333335,-10.048305555555556,123.19425,19.09113888888889,30.975,30.441,Oph
115,2270793.635268334,Sun,21.809897222222222,-12.722499999999998,87.65447222222222,-23.11958333333333,0.989,0.0,Aqr
116,2270813.6376414625,Pluto,16.639391666666665,-10.061222222222222,140.63394444444444,30.923972222222222,30.675,30.448,Oph
117,2270813.6376414625,Sun,23.073444444444444,-4.033416666666667,82.40475,-18.80613888888889,0.994,0.0,Psc
118,2270833.640014591,Pluto,16.653016666666666,-10.115944444444445,163.09408333333334,38.588972222222225,30.346,30.455,Oph
119,2270833.640014591,Sun,0.28970833333333335,1.8853333333333333,77.57897222222222,-11.552999999999999,1.0,0.0,Psc
120,2270853.64238772,Pluto,16.651705555555555,-10.200083333333334,189.1252777777778,39.78711111111111,30.028,30.462,Oph
121,2270853.64238772,Sun,1.5021944444444444,9.46061111111111,73.23275,-4.231444444444445,1.006,0.0,Ari
122,2270873.6447608485,Pluto,16.636380555555554,-10.29802777777778,213.54888888888888,33.868805555555554,29.757,30.469,Oph
123,2270873.6447608485,Sun,2.7511638888888887,16.004527777777778,69.36625,0.31455555555555553,1.011,0.0,Ari
124,2270893.647133977,Pluto,16.609808333333334,-10.39238888888889,233.08419444444445,22.589527777777775,29.568,30.476,Oph
125,2270893.647133977,Sun,4.0606,20.808083333333332,66.2316388888889,3.7586944444444446,1.014,0.0,Tau
