,JD,Body,RA,Dec,Dist,Dist_Sun
197,2270953.677984673,Sun,8.164561111111112,20.149305555555554,1.015,0.0
200,2270973.680722899,Sun,9.458905555555555,15.026833333333334,1.012,0.0
203,2270993.6834611245,Sun,10.694083333333333,8.295861111111112,1.007,0.0
206,2271013.6861993503,Sun,11.898244444444444,0.66325,1.001,0.0
209,2271033.688937576,Sun,13.112594444444444,-6.879777777777778,0.996,0.0
212,2271053.6916758018,Sun,14.380669444444445,-13.754944444444446,0.99,0.0
215,2271073.6944140275,Sun,15.734572222222221,-18.16738888888889,0.986,0.0
218,2271093.6971522532,Sun,17.173722222222224,-22.983527777777777,0.984,0.0
221,2271113.699890479,Sun,18.652794444444442,-22.79888888888889,0.983,0.0
224,2271133.7026287047,Sun,20.102225,-19.658305555555557,0.985,0.0
227,2271153.7053669305,Sun,21.471205555555553,-13.0295,0.988,0.0
230,2271173.708105156,Sun,22.75333611111111,-6.05925,0.993,0.0
233,2271193.710843382,Sun,23.977633333333333,0.1485,0.998,0.0
236,2271213.7135816077,Sun,1.187025,7.573277777777777,1.004,0.0
239,2271233.7163198334,Sun,2.4233055555555554,14.453249999999999,1.009,0.0
242,2271253.719058059,Sun,3.7161083333333336,19.76983333333333,1.013,0.0
245,2271273.721796285,Sun,5.068741666666666,22.880972222222223,1.016,0.0
248,2271293.7245345106,Sun,6.451752777777778,23.357472222222224,1.017,0.0
251,2271313.7272727364,Sun,7.817722222222222,21.135416666666668,1.016,0.0
254,2271333.730010962,Sun,9.128994444444444,16.539222222222225,1.013,0.0
257,2271353.732749188,Sun,10.377758333333334,10.159416666666667,1.008,0.0
260,2271373.7354874136,Sun,11.58622777777778,2.6917222222222223,1.003,0.0
263,2271393.7382256393,Sun,12.793763888888888,-4.871944444444445,0.997,0.0
266,2271413.740963865,Sun,14.044147222222222,-11.493416666666667,0.992,0.0
269,2271433.743702091,Sun,15.374044444444445,-17.420194444444444,0.987,0.0
272,2271453.7464403166,Sun,16.793719444444445,-21.538416666666667,0.984,0.0
275,2271473.7491785423,Sun,18.26898333333333,-22.54561111111111,0.983,0.0
278,2271493.751916768,Sun,19.732308333333332,-20.645083333333332,0.984,0.0
281,2271513.754654994,Sun,21.124644444444446,-15.439027777777778,0.987,0.0
284,2271533.7573932195,Sun,22.427630555555556,-8.126222222222221,0.991,0.0
287,2271553.7601314452,Sun,23.662913888888887,-1.8024166666666666,0.997,0.0
