,JD,Body,RA,Dec,Az,Alt,Dist,Dist_Sun,Const
22,2270533.6044176714,Pluto,16.412530555555556,-9.430472222222223,243.858,14.452888888888888,29.355,30.351,Oph
23,2270573.6091639292,Pluto,16.347952777777778,-9.438888888888888,270.30202777777777,-16.287472222222224,29.603,30.365,Oph
24,2270613.613910187,Pluto,16.320494444444446,-9.237694444444445,302.6423611111111,-48.907,30.183,30.378,Oph
25,2270653.618656445,Pluto,16.348405555555555,-10.877555555555555,14.08525,-61.49961111111111,30.843,30.392,Oph
26,2270693.6234027026,Pluto,16.425386111111113,-10.478027777777777,70.1243611111111,-39.159499999999994,31.298,30.406,Oph
27,2270733.6281489604,Pluto,16.525169444444444,-10.171722222222222,97.10180555555554,-9.791333333333334,31.35,30.42,Oph
28,2270773.632895218,Pluto,16.611658333333335,-10.048305555555556,123.19425,19.09113888888889,30.975,30.434,Oph
29,2270813.637641476,Pluto,16.653016666666666,-10.115944444444445,163.09408333333334,38.588972222222225,30.346,30.448,Oph
30,2270853.642387734,Pluto,16.636380555555554,-10.29802777777778,213.54891666666666,33.868805555555554,29.757,30.462,Oph
31,2270893.6471339916,Pluto,16.57615277777778,-10.466222222222223,248.43505555555555,8.220333333333333,29.483,30.476,Oph
32,2270933.6518802494,Pluto,16.508341666666666,-10.498555555555555,274.4260277777778,-23.546611111111112,29.65,30.491,Oph
33,2270973.656626507,Pluto,16.47185,-10.337361111111111,311.4741388888889,-53.189416666666666,30.186,30.505,Oph
34,2271013.661372765,Pluto,16.489330555555558,-10.015555555555556,30.694666666666667,-59.131388888888885,30.856,30.52,Oph
35,2271053.6661190228,Pluto,16.489330555555558,-10.015555555555556,30.694666666666667,-59.131388888888885,30.856,30.535,Oph
36,2271093.6708652806,Pluto,16.558905555555555,-11.637361111111112,77.45225,-34.87005555555555,31.372,30.55,Oph
37,2271133.6756115383,Pluto,16.657238888888887,-11.32863888888889,102.73141666666668,-3.6998611111111113,31.509,30.565,Oph
38,2271173.680357796,Pluto,16.748933333333333,-11.181833333333334,130.35344444444445,23.594416666666664,31.207,30.58,Oph
39,2271213.685104054,Pluto,16.800233333333335,-11.21588888888889,173.23325,39.001777777777775,30.606,30.595,Oph
40,2271253.6898503117,Pluto,16.73943888888889,-11.52925,252.7036388888889,2.0016666666666665,29.637,30.61,Oph
41,2271293.6945965695,Pluto,16.73943888888889,-11.52925,252.7036388888889,2.0016666666666665,29.637,30.626,Oph
42,2271333.6993428273,Pluto,16.66980277777778,-11.578666666666667,278.79283333333336,-30.863944444444446,29.721,30.641,Oph
43,2271373.704089085,Pluto,16.625075,-11.452972222222222,322.6406666666667,-58.168527777777776,30.203,30.657,Oph
44,2271413.708835343,Pluto,16.631991666666668,-11.169166666666667,45.022416666666665,-56.33144444444444,30.872,30.673,Oph
45,2271453.7135816007,Pluto,16.693297222222224,-12.815805555555555,83.96205555555557,-28.779583333333335,31.44,30.689,Oph
46,2271493.7183278585,Pluto,16.788933333333336,-12.5105,108.42666666666668,1.7860277777777778,31.66,30.705,Oph
47,2271533.7230741163,Pluto,16.884658333333334,-12.346166666666667,138.1145,27.549611111111112,31.437,30.721,Ser
48,2271573.727820374,Pluto,16.945280555555556,-12.350611111111112,183.33041666666665,38.32625,30.874,30.737,Ser
49,2271613.732566632,Pluto,16.949638888888888,-12.476055555555554,227.4885,24.21227777777778,30.234,30.753,Ser
50,2271653.7373128897,Pluto,16.902041666666666,-12.622694444444443,256.7656388888889,-3.194805555555556,29.816,30.769,Ser
51,2271693.7420591475,Pluto,16.83203888888889,-12.682500000000001,283.5679166666667,-36.27213888888889,29.815,30.786,Ser
52,2271733.7468054052,Pluto,16.780027777777775,-12.587055555555555,336.8710277777778,-62.21377777777778,30.235,30.802,Oph
