,JD,Body,RA,Dec,Az,Alt,Dist,Dist_Sun,Const
0,2269653.5,Mercury,19.919419444444447,-21.045944444444444,190.81905555555556,28.323083333333333,1.314,0.37,Cap
1,2269653.5,Sun,18.709083333333332,-22.854583333333334,59.08602777777778,-64.4115,0.983,0.0,Sgr
2,2269654.0,Mercury,19.83528611111111,-22.984555555555556,19.975416666666664,-73.76813888888888,1.207,0.367,Cap
3,2269654.0,Sun,18.745811111111113,-22.891638888888888,203.0418611111111,25.35141666666667,0.983,0.0,Sgr
4,2269654.5,Mercury,19.88985,-21.166972222222224,185.756,28.99677777777778,1.197,0.364,Cap
5,2269654.5,Sun,18.782733333333333,-22.93347222222222,58.76572222222222,-64.38469444444445,0.983,0.0,Sgr
6,2269655.0,Mercury,19.9439,-21.357722222222222,17.514222222222223,-73.964,1.187,0.361,Cap
7,2269655.0,Sun,18.819416666666665,-22.97438888888889,202.95891666666665,25.465666666666667,0.983,0.0,Sgr
8,2269655.5,Mercury,19.99730277777778,-21.551666666666666,185.13197222222223,29.42652777777778,1.177,0.358,Cap
9,2269655.5,Sun,18.85628888888889,-21.02002777777778,58.433388888888885,-64.36463888888888,0.983,0.0,Sgr
10,2269656.0,Mercury,20.050097222222224,-21.75361111111111,15.20486111111111,-72.2135,1.167,0.356,Cap
11,2269656.0,Sun,18.892919444444445,-21.06475,202.87991666666667,25.586555555555556,0.983,0.0,Sgr
12,2269656.5,Mercury,20.10215,-21.95836111111111,184.54219444444445,29.87066666666667,1.156,0.353,Cap
13,2269656.5,Sun,18.929738888888892,-21.114194444444443,58.0895,-64.35138888888888,0.983,0.0,Sgr
14,2269657.0,Mercury,20.15348333333333,-20.170666666666666,13.0785,-72.51266666666666,1.145,0.35,Cap
15,2269657.0,Sun,18.966313888888887,-21.162694444444444,202.80494444444446,25.714027777777776,0.983,0.0,Sgr
16,2269657.5,Mercury,20.203966666666666,-20.385277777777777,183.99363888888888,30.327972222222222,1.134,0.347,Cap
17,2269657.5,Sun,19.00307777777778,-21.215916666666665,57.73452777777778,-64.34511111111111,0.983,0.0,Sgr
18,2269658.0,Mercury,20.253605555555556,-20.606916666666667,11.16313888888889,-72.85658333333333,1.122,0.344,Cap
19,2269658.0,Sun,19.039594444444447,-21.26816666666667,202.73402777777775,25.848,0.983,0.0,Sgr
20,2269658.5,Mercury,20.302275,-20.830277777777777,183.49444444444444,30.796944444444446,1.111,0.342,Cap
21,2269658.5,Sun,19.076294444444443,-21.325138888888887,57.368916666666664,-64.34588888888888,0.983,0.0,Sgr
22,2269659.0,Mercury,20.349963888888887,-19.060027777777776,9.48361111111111,-71.23955555555555,1.099,0.339,Cap
23,2269659.0,Sun,19.112750000000002,-21.381138888888888,202.66730555555554,25.98838888888889,0.983,0.0,Sgr
24,2269659.5,Mercury,20.396544444444444,-19.29077777777778,183.05405555555558,31.275694444444444,1.087,0.337,Cap
25,2269659.5,Sun,19.14938611111111,-21.441805555555554,56.99322222222222,-64.35383333333333,0.983,0.0,Sgr
26,2269660.0,Mercury,20.441997222222223,-19.52716666666667,8.06175,-71.6553888888889,1.074,0.334,Cap
27,2269660.0,Sun,19.185775,-21.501527777777778,202.60480555555554,26.135194444444444,0.983,0.0,Sgr
28,2269660.5,Mercury,20.48618888888889,-19.763749999999998,182.6833611111111,31.76188888888889,1.062,0.332,Cap
29,2269660.5,Sun,19.222344444444442,-21.56588888888889,56.60794444444445,-64.36902777777779,0.983,0.0,Sgr
30,2269661.0,Mercury,20.529083333333332,-18.005055555555554,6.917055555555556,-70.09747222222222,1.049,0.329,Cap
31,2269661.0,Sun,19.25866388888889,-21.629305555555554,202.54658333333333,26.28827777777778,0.983,0.0,Sgr
32,2269661.5,Mercury,20.57055,-18.245583333333332,182.3947222222222,32.25263888888889,1.036,0.327,Cap
33,2269661.5,Sun,19.295161111111113,-21.697333333333333,56.21369444444445,-64.39155555555556,0.984,0.0,Sgr
34,2269662.0,Mercury,20.61053888888889,-18.489805555555556,6.067277777777777,-70.559,1.024,0.325,Cap
35,2269662.0,Sun,19.331411111111112,-21.764388888888888,202.49277777777777,26.44761111111111,0.984,0.0,Sgr
36,2269662.5,Mercury,20.648916666666665,-18.73213888888889,182.20202777777777,32.74447222222222,1.01,0.323,Cap
37,2269662.5,Sun,19.367830555555557,-21.83602777777778,55.811,-64.42155555555556,0.984,0.0,Sgr
38,2269663.0,Mercury,20.68562222222222,-18.977027777777778,5.529166666666667,-69.03327777777777,0.997,0.321,Cap
39,2269663.0,Sun,19.404005555555553,-21.906722222222225,202.44341666666668,26.613083333333336,0.984,0.0,Sgr
40,2269663.5,Mercury,20.72051944444444,-17.21875,182.12072222222224,33.23297222222222,0.984,0.319,Cap
41,2269663.5,Sun,19.44035,-21.981972222222222,55.4005,-64.45905555555555,0.984,0.0,Sgr
42,2269664.0,Mercury,20.75353888888889,-17.461694444444444,5.3189722222222215,-69.514,0.97,0.317,Cap
43,2269664.0,Sun,19.47644722222222,-20.05625,202.39858333333333,26.78463888888889,0.984,0.0,Sgr
44,2269664.5,Mercury,20.784536111111112,-17.700083333333332,182.16747222222222,33.71288888888889,0.957,0.316,Cap
45,2269664.5,Sun,19.512708333333332,-20.135055555555553,54.98283333333333,-64.50416666666666,0.984,0.0,Sgr
46,2269665.0,Mercury,20.813441666666666,-17.938277777777778,5.452916666666667,-69.99555555555555,0.943,0.314,Cap
47,2269665.0,Sun,19.548725,-20.212888888888887,202.3583611111111,26.962166666666665,0.984,0.0,Sgr
